,index,label,segment_path,video_class,video_name,dataset
0,2766,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery097_x264/Robbery097_x264-seg5.mp4,Robbery,Robbery097_x264,ucfcrime
1,2984,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery035_x264/Robbery035_x264-seg24.mp4,Robbery,Robbery035_x264,ucfcrime
2,2069,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Fighting/Fighting028_x264/Fighting028_x264-seg19.mp4,Fighting,Fighting028_x264,ucfcrime
3,208,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse022_x264/Abuse022_x264-seg23.mp4,Abuse,Abuse022_x264,ucfcrime
4,997,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest044_x264/Arrest044_x264-seg26.mp4,Arrest,Arrest044_x264,ucfcrime
5,565,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse017_x264/Abuse017_x264-seg17.mp4,Abuse,Abuse017_x264,ucfcrime
6,313,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse017_x264/Abuse017_x264-seg23.mp4,Abuse,Abuse017_x264,ucfcrime
7,601,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest046_x264/Arrest046_x264-seg14.mp4,Arrest,Arrest046_x264,ucfcrime
8,233,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Abuse/Abuse049_x264/Abuse049_x264-seg19.mp4,Abuse,Abuse049_x264,ucfcrime
9,839,1,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Arrest/Arrest049_x264/Arrest049_x264-seg8.mp4,Arrest,Arrest049_x264,ucfcrime
10,2662,0,/content/drive/MyDrive/ucf_experiments/data/ucf_crime_splits/Robbery/Robbery080_x264/Robbery080_x264-seg13.mp4,Robbery,Robbery080_x264,ucfcrime
