,Unnamed: 0,video,predictions,true,pred_type,obs
175,175.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi99_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
90,90.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi26_1_resized_blur.mp4,0.0,1.0,false_negative,low_quality
102,102.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi54_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
174,174.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi40_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
169,169.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi85_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
182,182.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi82_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
17,17.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi50_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
58,58.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi47_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
38,38.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi23_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
16,16.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi58_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
35,35.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi84_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
112,112.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi88_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
151,151.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi48_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
74,74.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi87_1_resized_blur.mp4,0.0,1.0,false_negative,other
72,72.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi51_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
62,62.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi74avi_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
194,194.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi71_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
68,68.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi70_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
45,45.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi91_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
71,71.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi95_1_resized_blur.mp4,0.0,1.0,false_negative,crowd
146,146.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi44_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
103,103.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi92_1_resized_blur.mp4,0.0,1.0,false_negative,other
0,0.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi67_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
140,140.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi83_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
195,195.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi42_1_resized_blur.mp4,0.0,1.0,false_negative,other
30,30.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/2_0_resized_blur.mp4,1.0,0.0,false_positive,other
55,55.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi43_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
153,153.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi57_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
6,6.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi55_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
200,200.0,/content/drive/MyDrive/ucf_experiments/data/Peliculas/data_blur/uniform_samples/test/newfi1_1_resized_blur.mp4,0.0,1.0,false_negative,crowd
