,Unnamed: 0,video,predictions,true,pred_type,obs
114,114.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/nTsOksk7_0-7889e1441d_0_resized_blur.mp4,1.0,0.0,false_positive,unknown
6,6.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/6Rl7q_kXYbg_1-a0722e5f2e_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
279,279.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/TYRFDVD_1106-92c95902fb_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
17,17.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/fbtEhNq5a6E_0-da5f040a7a_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
306,306.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/7gLKFV5voOg_0-dd5f873299_1_resized_blur.mp4,0.0,1.0,false_negative,crowd
94,94.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/nVdn1krnTCQ_0-2d5d16569e_0_resized_blur.mp4,1.0,0.0,false_positive,abrupt_movements
57,57.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/YukOkfIj_0-2a76019ed7_0_resized_blur.mp4,1.0,0.0,false_positive,unknown
184,184.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/4I1DGWsh_0-3944c67df7_0_resized_blur.mp4,1.0,0.0,false_positive,unknown
247,247.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/trtrhrt_1054-2897879b3d_1_resized_blur.mp4,0.0,1.0,false_negative,abrupt_movements
66,66.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/1MVS2QPWbHc_5-31581edbed_1_resized_blur.mp4,0.0,1.0,false_negative,crowd
174,174.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/I-QiUMPTWNE_4-510575a5d0_1_resized_blur.mp4,0.0,1.0,false_negative,crowd
50,50.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/XM0NI7ZmwWM_0-a62b584d14_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
346,346.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/FXC43fACfPc_1-db8aa98527_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
18,18.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/1Kbw1bUw_3-e89578ce94_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
393,393.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/1MVS2QPWbHc_0-68ae15d47d_0_resized_blur.mp4,1.0,0.0,false_positive,abrupt_movements
170,170.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/XM0NI7ZmwWM_1-52bc1122d2_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
341,341.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/nVdn1krnTCQ_4-e79164615b_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
207,207.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/I-QiUMPTWNE_2-c56c70d327_1_resized_blur.mp4,0.0,1.0,false_negative,crowd
329,329.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/v4dhdnsxiX4_3-3a6794e001_1_resized_blur.mp4,0.0,1.0,false_negative,crowd
264,264.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/nuf-d5GugL0_2-03f5db1458_0_resized_blur.mp4,1.0,0.0,false_positive,wrong_placed_gauss_mask
84,84.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/1W8hsVvyKt4_0-cb5ba995cb_0_resized_blur.mp4,1.0,0.0,false_positive,abrupt_movements
202,202.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/nuf-d5GugL0_1-460be45a4e_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
239,239.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/I-QiUMPTWNE_7-88b79edf79_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
143,143.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/6Rl7q_kXYbg_3-a1072cde65_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
38,38.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/bW2vHhYbzHM_0-f3daeb2c85_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
352,352.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/JECBfnp2ZXc_6-5a2ed28537_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
231,231.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/fO2vb61DcUk_1-f051d93589_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
286,286.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/nVdn1krnTCQ_3-12aaa3e64a_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
258,258.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/Ry5c1PbcIa0_0-57b04e801c_1_resized_blur.mp4,0.0,1.0,false_negative,unknown
96,96.0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/test/JECBfnp2ZXc_4-0c9eb84d5c_1_resized_blur.mp4,0.0,1.0,false_negative,wrong_placed_gauss_mask
