Wall time,Step,Value
1649277257.132314,0,0.665082573890686
1649277782.489833,1,0.6069052815437317
1649278382.532033,2,0.6191893219947815
1649278950.918772,3,0.592755913734436
1649279550.81097,4,0.5673170685768127
1649280176.906355,5,0.5464646220207214
1649280789.542169,6,0.5320228934288025
1649281416.223332,7,0.5236539840698242
1649282056.920391,8,0.5179736614227295
1649282725.135309,9,0.5114156007766724
1649283410.195462,10,0.4762645661830902
1649284060.883467,11,0.4590055048465729
1649284734.827979,12,0.44385841488838196
1649285385.641501,13,0.4483680725097656
1649286041.86552,14,0.4412675201892853
1649286699.100004,15,0.4200347661972046
1649287374.744408,16,0.41859695315361023
1649288035.935239,17,0.40759238600730896
1649288696.46871,18,0.40385502576828003
1649289345.991549,19,0.4216045141220093
1649290025.775146,20,0.3687180280685425
1649290711.555857,21,0.33043017983436584
1649291359.57849,22,0.3463740646839142
1649292034.843257,23,0.3044312000274658
1649292712.523383,24,0.32010695338249207
1649293407.622535,25,0.32264596223831177
1649294067.361831,26,0.30637070536613464
1649294753.994404,27,0.2782258093357086
1649295433.176021,28,0.284625768661499
1649296102.480792,29,0.2883247137069702
1649296788.766099,30,0.2461892068386078
1649297485.402642,31,0.2112867385149002
1649298215.280427,32,0.18096868693828583
1649298912.616924,33,0.16050447523593903
1649299622.148391,34,0.1603267788887024
1649300313.175031,35,0.18045152723789215
1649301041.562665,36,0.1648956835269928
1649301744.3592,37,0.14360776543617249
